Id,VeryActiveMinutes,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,TotalMinutesAsleep
4445114986,0,783,231,0,405
4445114986,34,622,232,22,499
4445114986,0,380,58,0,483
4558609924,6,844,432,21,126
4558609924,12,1062,283,41,103
4558609924,15,1096,197,29,171
4558609924,0,1121,190,0,115
4558609924,66,1019,238,35,123
4702921684,0,718,263,0,425
4702921684,0,777,258,0,400
4702921684,0,772,271,0,384
4702921684,1,944,256,8,253
4702921684,3,556,335,24,382
4702921684,12,437,302,66,591
4702921684,22,890,191,30,293
4702921684,10,757,179,8,457
4702921684,2,717,260,29,454
4702921684,4,901,144,41,425
4702921684,9,469,408,66,465
4702921684,15,542,281,95,480
4702921684,6,730,270,15,370
4702921684,1,765,216,8,421
4702921684,1,733,238,16,432
4702921684,14,738,232,9,442
4702921684,12,692,267,19,433
4702921684,4,728,263,36,479
4702921684,0,729,313,0,327
4702921684,4,757,251,15,412
4702921684,8,745,241,5,414
4702921684,1,682,207,16,404
4702921684,5,577,439,46,520
4702921684,5,577,439,46,520
4702921684,0,746,253,12,435
4702921684,1,701,262,37,416
4702921684,10,784,235,41,354
4702921684,0,241,68,0,404
5553957443,19,767,277,13,441
5553957443,0,647,226,0,455
5553957443,61,693,256,41,357
5553957443,58,689,239,38,377
5553957443,0,521,288,0,651
5553957443,0,943,46,0,350
5553957443,0,622,206,0,520
5553957443,69,756,249,28,357
5553957443,0,598,148,0,658
5553957443,47,801,177,42,399
5553957443,25,781,270,16,322
5553957443,0,443,272,0,631
5553957443,0,582,104,0,553
5553957443,51,732,201,11,433
5553957443,40,750,238,18,412
5553957443,16,745,206,16,347
5553957443,49,727,165,13,421
5553957443,46,709,270,15,450
5553957443,0,506,84,0,775
5553957443,0,436,237,0,622
5553957443,23,724,227,9,409
5553957443,26,812,247,29,380
5553957443,0,651,224,0,447
5553957443,44,692,241,29,419
5553957443,21,761,229,9,400
5553957443,0,902,96,0,442
5553957443,3,505,210,8,568
5553957443,59,667,251,22,453
5553957443,61,707,265,40,418
5553957443,0,628,195,0,463
5553957443,8,222,48,6,438
5577150313,86,728,140,16,419
5577150313,15,776,144,11,432
5577150313,118,662,176,30,477
5577150313,115,695,199,54,392
5577150313,184,472,158,56,406
5577150313,200,525,159,37,549
5577150313,114,623,130,32,527
5577150313,108,733,111,23,449
5577150313,87,773,113,16,447
5577150313,110,670,175,74,414
5577150313,62,823,200,30,338
5577150313,24,627,223,24,384
5577150313,210,425,141,65,543
5577150313,61,743,214,38,421
5577150313,38,759,181,32,354
5577150313,63,773,190,16,424
5577150313,99,692,141,51,361
5577150313,97,739,165,36,459
5577150313,207,621,163,45,412
5577150313,194,499,178,72,379
5577150313,37,732,235,20,525
5577150313,97,580,212,8,508
5577150313,25,631,141,9,603
5577150313,45,1153,143,21,74
5577150313,104,639,194,37,504
5577150313,45,257,63,15,431
6117666160,7,502,518,15,380
6117666160,0,702,312,0,336
6117666160,0,759,241,0,493
6117666160,0,425,480,0,465
6117666160,26,587,349,10,474
6117666160,11,579,294,19,508
6117666160,0,413,402,0,480
6117666160,0,468,512,0,492
6117666160,0,711,362,0,353
6117666160,0,417,458,0,542
6117666160,0,758,141,0,393
6117666160,0,479,461,0,600
6117666160,0,525,397,0,507
6117666160,0,479,487,0,392
6117666160,0,673,133,0,658
6117666160,0,456,412,0,498
6117666160,0,517,318,0,555
6117666160,0,125,197,0,492
6775888955,17,1053,85,18,235
6775888955,14,863,105,24,423
6775888955,0,976,58,0,391
6962181067,50,796,189,14,366
6962181067,8,548,142,24,630
6962181067,0,862,86,0,508
6962181067,0,837,217,0,370
6962181067,50,741,280,3,357
6962181067,5,634,295,13,427
6962181067,13,689,238,42,442
6962181067,35,659,195,41,476
6962181067,48,639,297,4,418
6962181067,53,708,214,27,451
6962181067,30,659,240,33,425
6962181067,58,484,347,41,528
6962181067,0,720,199,0,511
6962181067,35,637,282,31,400
6962181067,36,680,254,7,441
6962181067,7,697,279,38,455
6962181067,38,621,288,8,440
6962181067,12,645,369,15,433
6962181067,32,731,237,16,422
6962181067,0,722,215,0,411
6962181067,18,655,313,39,466
6962181067,21,654,267,36,394
6962181067,15,683,284,36,442
6962181067,14,591,305,22,467
6962181067,0,717,299,0,443
6962181067,0,745,328,0,298
6962181067,0,709,151,14,541
6962181067,43,607,231,21,489
6962181067,62,626,275,34,469
6962181067,24,709,199,7,452
6962181067,0,127,105,8,516
7007744171,0,1155,203,0,79
7007744171,0,1142,237,0,58
7086361926,59,745,153,6,514
7086361926,31,744,155,26,451
7086361926,35,787,189,32,472
7086361926,30,864,139,21,377
7086361926,67,671,124,69,472
7086361926,87,797,145,13,492
7086361926,19,758,206,6,390
7086361926,58,762,153,59,428
7086361926,0,566,125,0,681
7086361926,69,706,129,39,446
7086361926,70,726,132,33,485
7086361926,55,829,145,6,469
7086361926,54,810,161,48,354
7086361926,42,584,308,17,485
7086361926,30,685,258,15,388
7086361926,66,737,139,26,440
7086361926,57,761,152,36,456
7086361926,45,843,135,12,420
7086361926,84,834,154,35,322
7086361926,20,621,209,42,530
7086361926,32,695,147,27,481
7086361926,67,743,171,50,427
7086361926,57,757,128,40,451
7086361926,5,343,58,4,444
8053475328,89,695,158,5,486
8053475328,125,741,223,14,331
8053475328,121,1076,148,20,74
8378563200,65,723,156,15,338
8378563200,116,680,169,14,447
8378563200,123,699,174,21,424
8378563200,60,729,190,23,513
8378563200,64,563,142,21,611
8378563200,0,599,93,0,525
8378563200,117,720,174,10,398
8378563200,120,737,154,19,387
8378563200,82,763,169,8,381
8378563200,137,677,145,16,396
8378563200,113,769,159,12,441
8378563200,19,740,136,10,565
8378563200,0,734,135,0,458
8378563200,117,692,141,16,388
8378563200,117,692,141,16,388
8378563200,90,593,161,18,550
8378563200,4,676,192,4,531
8378563200,11,711,139,10,506
8378563200,3,767,172,7,527
8378563200,0,780,121,0,468
8378563200,71,669,127,10,475
8378563200,63,802,142,4,351
8378563200,71,822,195,20,405
8378563200,19,680,167,10,441
8378563200,66,764,214,3,381
8378563200,74,831,166,5,323
8378563200,0,851,158,0,459
8378563200,0,621,139,0,545
8378563200,71,772,171,13,359
8378563200,63,840,152,13,342
8378563200,72,763,184,10,368
8378563200,8,433,102,6,496
8792009665,0,831,116,0,458
8792009665,0,806,82,0,531
8792009665,0,853,84,0,486
8792009665,0,937,126,0,363
8792009665,0,744,139,10,528
8792009665,1,817,195,20,391
8792009665,8,795,232,45,339
8792009665,0,900,112,0,423
8792009665,0,714,310,0,402
8792009665,6,634,380,14,398
8792009665,10,749,301,20,343
8792009665,0,834,79,0,503
8792009665,0,916,101,0,415
8792009665,0,739,156,0,516
8792009665,0,848,129,0,439
